Roll Number,Name of Category of Admission Test,Marks Obtained
5132,ICS with Physics Combination (PU-CSP),52
5133,ICS with Physics Combination (PU-CSP),28
5134,ICS with Physics Combination (PU-CSP),44
5136,ICS with Physics Combination (PU-CSP),48
5138,ICS with Physics Combination (PU-CSP),51
5139,ICS with Physics Combination (PU-CSP),28
5140,ICS with Physics Combination (PU-CSP),42
5141,ICS with Physics Combination (PU-CSP),48
5142,ICS with Physics Combination (PU-CSP),48
5143,ICS with Physics Combination (PU-CSP),58
5144,ICS with Physics Combination (PU-CSP),0
5145,ICS with Physics Combination (PU-CSP),0
5146,ICS with Physics Combination (PU-CSP),43
5147,ICS with Physics Combination (PU-CSP),41
5148,ICS with Physics Combination (PU-CSP),33
5149,ICS with Physics Combination (PU-CSP),42
5150,ICS with Physics Combination (PU-CSP),65
5151,ICS with Physics Combination (PU-CSP),74
5152,ICS with Physics Combination (PU-CSP),50
5153,ICS with Physics Combination (PU-CSP),58
5154,General Science (PU-GS),30
5155,General Science (PU-GS),35
5156,General Science (PU-GS),36
5157,General Science (PU-GS),54
5158,General Science (PU-GS),41
5159,General Science (PU-GS),0
5160,ICS with Statistics Combination (PU-CSS),51
5161,ICS with Statistics Combination (PU-CSS),61
5162,ICS with Statistics Combination (PU-CSS),63
5163,ICS with Statistics Combination (PU-CSS),76
5164,ICS with Statistics Combination (PU-CSS),89
5165,ICS with Statistics Combination (PU-CSS),75
5166,ICS with Statistics Combination (PU-CSS),45
5167,ICS with Statistics Combination (PU-CSS),42
5168,ICS with Statistics Combination (PU-CSS),77
5169,ICS with Statistics Combination (PU-CSS),77
5170,ICS with Statistics Combination (PU-CSS),50
5171,ICS with Statistics Combination (PU-CSS),75
5173,ICS with Statistics Combination (PU-CSS),52
5174,ICS with Statistics Combination (PU-CSS),52
5175,ICS with Statistics Combination (PU-CSS),55
5176,ICS with Statistics Combination (PU-CSS),40
5177,ICS with Statistics Combination (PU-CSS),40
5178,ICS with Statistics Combination (PU-CSS),54
5180,ICS with Statistics Combination (PU-CSS),61
5181,ICS with Statistics Combination (PU-CSS),52
5182,ICS with Statistics Combination (PU-CSS),52
5183,ICS with Statistics Combination (PU-CSS),45
5184,ICS with Statistics Combination (PU-CSS),36
5185,ICS with Statistics Combination (PU-CSS),52
5186,ICS with Statistics Combination (PU-CSS),41
5187,ICS with Statistics Combination (PU-CSS),41
5188,ICS with Statistics Combination (PU-CSS),73
5189,ICS with Statistics Combination (PU-CSS),30
5190,ICS with Statistics Combination (PU-CSS),30
5191,ICS with Statistics Combination (PU-CSS),48
5192,ICS with Statistics Combination (PU-CSS),45
5195,ICS with Statistics Combination (PU-CSS),45
5196,ICS with Statistics Combination (PU-CSS),57
5197,ICS with Statistics Combination (PU-CSS),24
5198,ICS with Statistics Combination (PU-CSS),49
5199,ICS with Statistics Combination (PU-CSS),36
5200,ICS with Statistics Combination (PU-CSS),58
5201,ICS with Statistics Combination (PU-CSS),59
5203,ICS with Statistics Combination (PU-CSS),46
5204,ICS with Statistics Combination (PU-CSS),56
5205,ICS with Statistics Combination (PU-CSS),47
5206,ICS with Statistics Combination (PU-CSS),44
5207,ICS with Statistics Combination (PU-CSS),23
5210,ICS with Statistics Combination (PU-CSS),42
5211,Pre-Engineering (PU-E),49
5212,Pre-Engineering (PU-E),48
5213,Pre-Engineering (PU-E),45
5214,Pre-Engineering (PU-E),53
5216,Pre-Engineering (PU-E),39
5217,Pre-Engineering (PU-E),39
5218,Pre-Engineering (PU-E),60
5219,Pre-Engineering (PU-E),49
5220,Pre-Engineering (PU-E),49
5221,Pre-Engineering (PU-E),80
5223,Pre-Engineering (PU-E),70
5224,Pre-Engineering (PU-E),59
5225,Pre-Engineering (PU-E),72
5226,Pre-Engineering (PU-E),41
5227,Pre-Engineering (PU-E),53
5228,Pre-Engineering (PU-E),49
5229,Pre-Engineering (PU-E),72
5230,Pre-Engineering (PU-E),54
5231,Pre-Engineering (PU-E),54
5232,Pre-Engineering (PU-E),67
5233,Pre-Engineering (PU-E),79
5234,Pre-Engineering (PU-E),69
5235,Pre-Engineering (PU-E),76
5236,Pre-Engineering (PU-E),76
5237,Pre-Engineering (PU-E),62
5238,Pre-Engineering (PU-E),44
5239,Pre-Engineering (PU-E),44
5240,Pre-Engineering (PU-E),58
5241,Pre-Engineering (PU-E),69
5242,Pre-Engineering (PU-E),62
5243,Pre-Engineering (PU-E),45
5245,Pre-Engineering (PU-E),44
5246,Pre-Engineering (PU-E),33
5247,Pre-Engineering (PU-E),46
5248,Pre-Engineering (PU-E),56
5249,Pre-Engineering (PU-E),0
5250,Pre-Engineering (PU-E),45
5251,Pre-Engineering (PU-E),57
5252,Pre-Engineering (PU-E),47
5253,Pre-Engineering (PU-E),49
5254,Pre-Engineering (PU-E),49
5255,Pre-Engineering (PU-E),65
5256,Pre-Engineering (PU-E),65
5257,Pre-Engineering (PU-E),59
5258,Pre-Engineering (PU-E),54
5259,Pre-Engineering (PU-E),61
5260,Pre-Engineering (PU-E),55
5261,Pre-Engineering (PU-E),37
5264,Pre-Engineering (PU-E),71
5265,Pre-Engineering (PU-E),49
5266,Pre-Engineering (PU-E),51
5267,Pre-Engineering (PU-E),80
5268,Pre-Engineering (PU-E),39
5269,Pre-Engineering (PU-E),53
5271,Pre-Engineering (PU-E),52
5272,Pre-Engineering (PU-E),0
5273,Pre-Engineering (PU-E),53
5274,Pre-Engineering (PU-E),52
5275,Pre-Engineering (PU-E),29
5278,Pre-Engineering (PU-E),72
5280,Pre-Engineering (PU-E),46
5282,Pre-Engineering (PU-E),40
5283,Pre-Engineering (PU-E),57
5284,Pre-Engineering (PU-E),66
5285,Pre-Engineering (PU-E),57
5286,Pre-Engineering (PU-E),0
5287,Pre-Engineering (PU-E),60
5288,Pre-Engineering (PU-E),49
5289,Pre-Engineering (PU-E),36
5290,Pre-Engineering (PU-E),53
5291,Pre-Engineering (PU-E),53
5292,Pre-Engineering (PU-E),84
5293,Pre-Engineering (PU-E),40
5294,Pre-Engineering (PU-E),62
5295,Pre-Engineering (PU-E),46
5297,Pre-Engineering (PU-E),50
5298,Pre-Engineering (PU-E),43
5299,Pre-Engineering (PU-E),44
5300,Pre-Engineering (PU-E),41
5301,Pre-Engineering (PU-E),38
5302,Pre-Engineering (PU-E),0
5303,Pre-Engineering (PU-E),77
5305,Pre-Engineering (PU-E),48
5306,Pre-Engineering (PU-E),34
5308,Pre-Engineering (PU-E),0
5309,Pre-Engineering (PU-E),41
5310,Pre-Engineering (PU-E),53
5312,Pre-Engineering (PU-E),71
5313,Pre-Engineering (PU-E),53
5314,Pre-Engineering (PU-E),0
5315,Pre-Engineering (PU-E),55
5316,Pre-Engineering (PU-E),33
5317,Pre-Engineering (PU-E),50
5318,Pre-Engineering (PU-E),70
5319,Pre-Engineering (PU-E),49
5320,Pre-Engineering (PU-E),49
5321,Pre-Engineering (PU-E),50
5322,Pre-Engineering (PU-E),77
5323,Pre-Engineering (PU-E),76
5324,Pre-Engineering (PU-E),0
5325,Pre-Engineering (PU-E),79
5327,Pre-Engineering (PU-E),47
5328,Commerce (PU-COM),0
5329,Commerce (PU-COM),36
5330,Commerce (PU-COM),50
5331,Commerce (PU-COM),34
5332,Commerce (PU-COM),41
5334,Commerce (PU-COM),46
5335,Commerce (PU-COM),41
5336,Commerce (PU-COM),41
5337,Commerce (PU-COM),50
5338,Commerce (PU-COM),40
5339,Commerce (PU-COM),24
5340,Commerce (PU-COM),47
5341,Commerce (PU-COM),45
5342,Commerce (PU-COM),31
5344,Commerce (PU-COM),31
5345,Commerce (PU-COM),63
5346,Commerce (PU-COM),63
5347,Commerce (PU-COM),0
5348,Commerce (PU-COM),0
5349,Commerce (PU-COM),48
5350,Commerce (PU-COM),32
5351,Commerce (PU-COM),48
5352,Commerce (PU-COM),0
5353,Commerce (PU-COM),0
5354,Commerce (PU-COM),0
5355,Commerce (PU-COM),49
5356,Commerce (PU-COM),32
5357,Commerce (PU-COM),43
5358,Commerce (PU-COM),0
5359,Commerce (PU-COM),0
5360,Pre-Medical (PU-M),41
5361,Pre-Medical (PU-M),47
5362,Pre-Medical (PU-M),47
5363,Pre-Medical (PU-M),48
5364,Pre-Medical (PU-M),0
5365,Pre-Medical (PU-M),0
5366,Pre-Medical (PU-M),36
5367,Pre-Medical (PU-M),40
5368,Pre-Medical (PU-M),44
5369,Pre-Medical (PU-M),79
5370,Pre-Medical (PU-M),62
5371,Pre-Medical (PU-M),50
5372,Pre-Medical (PU-M),41
5373,Pre-Medical (PU-M),79
5374,Pre-Medical (PU-M),53
5375,Pre-Medical (PU-M),49
5376,Pre-Medical (PU-M),58
5378,Pre-Medical (PU-M),62
5379,Pre-Medical (PU-M),61
5380,Pre-Medical (PU-M),36
5381,Pre-Medical (PU-M),58
5382,Pre-Medical (PU-M),38
5383,Pre-Medical (PU-M),38
5384,Pre-Medical (PU-M),33
5385,Pre-Medical (PU-M),47
5386,Pre-Medical (PU-M),56
5387,Pre-Medical (PU-M),46
5388,Pre-Medical (PU-M),55
5389,Pre-Medical (PU-M),54
5390,Pre-Medical (PU-M),37
5391,Pre-Medical (PU-M),32
5392,Pre-Medical (PU-M),32
5393,Pre-Medical (PU-M),45
5394,Pre-Medical (PU-M),42
5395,Pre-Medical (PU-M),42
5396,Pre-Medical (PU-M),34
5397,Pre-Medical (PU-M),39
5398,Pre-Medical (PU-M),0
5399,Pre-Medical (PU-M),27
5400,Pre-Medical (PU-M),58
5401,Pre-Medical (PU-M),49
5402,Pre-Medical (PU-M),37
5403,Pre-Medical (PU-M),52
5404,Pre-Medical (PU-M),52
5405,Pre-Medical (PU-M),49
5406,Pre-Medical (PU-M),0
5407,Pre-Medical (PU-M),37
5408,Pre-Medical (PU-M),46
5409,Pre-Medical (PU-M),51
5410,Pre-Medical (PU-M),60
5411,Pre-Medical (PU-M),45
5412,Pre-Medical (PU-M),53
5413,Pre-Medical (PU-M),44
5414,Pre-Medical (PU-M),42
5415,Pre-Medical (PU-M),35
5416,Pre-Medical (PU-M),53
5418,Pre-Medical (PU-M),59
5419,Pre-Medical (PU-M),49
5420,Pre-Medical (PU-M),45
5421,Pre-Medical (PU-M),51
5422,Pre-Medical (PU-M),39
5423,Pre-Medical (PU-M),42
5424,Pre-Medical (PU-M),0
5425,Pre-Medical (PU-M),64
5426,Pre-Medical (PU-M),64
5427,Pre-Medical (PU-M),0
5428,Pre-Medical (PU-M),0
5429,Pre-Medical (PU-M),43
5430,Pre-Medical (PU-M),0
5431,Pre-Medical (PU-M),45
5432,Pre-Medical (PU-M),0
5433,Pre-Medical (PU-M),0
5434,Pre-Medical (PU-M),0
5435,Pre-Medical (PU-M),53
5436,Pre-Medical (PU-M),68
5437,Pre-Medical (PU-M),49
5438,Pre-Medical (PU-M),60
5439,Pre-Medical (PU-M),58
5441,Pre-Medical (PU-M),61
5442,Pre-Medical (PU-M),42
5443,Pre-Medical (PU-M),45
5444,Pre-Medical (PU-M),46
5445,Pre-Medical (PU-M),61
5446,Pre-Medical (PU-M),47
5447,Pre-Medical (PU-M),0
5448,Pre-Medical (PU-M),51
5449,Pre-Medical (PU-M),66
5450,Pre-Medical (PU-M),56
5451,Pre-Medical (PU-M),46
5452,Pre-Medical (PU-M),35
5453,Pre-Medical (PU-M),76
5454,Pre-Medical (PU-M),58
5455,Pre-Medical (PU-M),45
5456,Pre-Medical (PU-M),62
5457,Pre-Medical (PU-M),56
5458,Pre-Medical (PU-M),60
5459,Pre-Medical (PU-M),64
5460,Pre-Medical (PU-M),47
5461,Pre-Medical (PU-M),56
5462,Pre-Medical (PU-M),62
5463,Pre-Medical (PU-M),0
5464,Pre-Medical (PU-M),52
5466,Pre-Medical (PU-M),62
5467,Pre-Medical (PU-M),36
5470,Pre-Medical (PU-M),39
5471,Pre-Medical (PU-M),0
5472,Pre-Medical (PU-M),62
5473,Pre-Medical (PU-M),46
5474,Pre-Medical (PU-M),60
5475,Pre-Medical (PU-M),49
5476,Pre-Medical (PU-M),31
5477,Pre-Medical (PU-M),37
5478,Pre-Medical (PU-M),0
5479,Pre-Medical (PU-M),0
5480,Pre-Medical (PU-M),70
5481,Pre-Medical (PU-M),43
5482,Pre-Medical (PU-M),56
5483,Pre-Medical (PU-M),52
5484,Pre-Medical (PU-M),0
5485,Pre-Medical (PU-M),34
5486,ICS with Physics Combination (PU-CSP),48
5487,ICS with Physics Combination (PU-CSP),78
5488,ICS with Physics Combination (PU-CSP),44
5489,ICS with Physics Combination (PU-CSP),44
5490,ICS with Physics Combination (PU-CSP),49
5491,ICS with Physics Combination (PU-CSP),53
5492,ICS with Physics Combination (PU-CSP),72
5494,ICS with Physics Combination (PU-CSP),44
5495,ICS with Physics Combination (PU-CSP),0
5496,ICS with Physics Combination (PU-CSP),56
5497,ICS with Physics Combination (PU-CSP),54
5498,ICS with Physics Combination (PU-CSP),54
5499,ICS with Physics Combination (PU-CSP),46
5500,ICS with Physics Combination (PU-CSP),44
5501,ICS with Physics Combination (PU-CSP),72
5502,ICS with Physics Combination (PU-CSP),52
5503,ICS with Physics Combination (PU-CSP),64
5504,ICS with Physics Combination (PU-CSP),60
5505,ICS with Physics Combination (PU-CSP),68
5507,ICS with Physics Combination (PU-CSP),83
5508,ICS with Physics Combination (PU-CSP),62
5509,ICS with Physics Combination (PU-CSP),62
5511,ICS with Physics Combination (PU-CSP),50
5512,ICS with Physics Combination (PU-CSP),34
5514,ICS with Physics Combination (PU-CSP),54
5515,ICS with Physics Combination (PU-CSP),51
5516,ICS with Physics Combination (PU-CSP),45
5517,ICS with Physics Combination (PU-CSP),64
5518,ICS with Physics Combination (PU-CSP),65
5519,ICS with Physics Combination (PU-CSP),60
5520,ICS with Physics Combination (PU-CSP),45
5521,ICS with Physics Combination (PU-CSP),51
5522,ICS with Physics Combination (PU-CSP),66
5523,ICS with Physics Combination (PU-CSP),64
5524,ICS with Physics Combination (PU-CSP),64
5525,ICS with Physics Combination (PU-CSP),69
5526,ICS with Physics Combination (PU-CSP),57
5527,ICS with Physics Combination (PU-CSP),66
5528,ICS with Physics Combination (PU-CSP),62
5530,ICS with Physics Combination (PU-CSP),62
5531,ICS with Physics Combination (PU-CSP),62
5532,ICS with Physics Combination (PU-CSP),63
5533,ICS with Physics Combination (PU-CSP),48
5534,ICS with Physics Combination (PU-CSP),52
5535,ICS with Physics Combination (PU-CSP),35
5536,ICS with Physics Combination (PU-CSP),42
5537,ICS with Physics Combination (PU-CSP),60
5538,ICS with Physics Combination (PU-CSP),61
5539,ICS with Physics Combination (PU-CSP),54
5540,ICS with Physics Combination (PU-CSP),54
5541,ICS with Physics Combination (PU-CSP),70
5542,ICS with Physics Combination (PU-CSP),56
5543,ICS with Physics Combination (PU-CSP),35
5544,ICS with Physics Combination (PU-CSP),65
5545,ICS with Physics Combination (PU-CSP),39
5546,ICS with Physics Combination (PU-CSP),46
5547,ICS with Physics Combination (PU-CSP),66
5548,ICS with Physics Combination (PU-CSP),67
5549,ICS with Physics Combination (PU-CSP),85
5550,ICS with Physics Combination (PU-CSP),56
5551,ICS with Physics Combination (PU-CSP),48
5552,ICS with Physics Combination (PU-CSP),53
5553,ICS with Physics Combination (PU-CSP),74
5555,ICS with Physics Combination (PU-CSP),52
5557,ICS with Physics Combination (PU-CSP),60
5559,ICS with Physics Combination (PU-CSP),39
5560,ICS with Physics Combination (PU-CSP),54
5561,ICS with Physics Combination (PU-CSP),54
5562,ICS with Physics Combination (PU-CSP),82
5563,ICS with Physics Combination (PU-CSP),45
5564,ICS with Physics Combination (PU-CSP),83
5565,ICS with Physics Combination (PU-CSP),43
5566,ICS with Physics Combination (PU-CSP),70
5567,ICS with Physics Combination (PU-CSP),59
5568,ICS with Physics Combination (PU-CSP),55
5569,ICS with Physics Combination (PU-CSP),0
5571,ICS with Physics Combination (PU-CSP),0
5572,ICS with Physics Combination (PU-CSP),72
5573,ICS with Physics Combination (PU-CSP),68
5574,ICS with Physics Combination (PU-CSP),38
5575,ICS with Physics Combination (PU-CSP),53
5576,ICS with Physics Combination (PU-CSP),76
5577,ICS with Physics Combination (PU-CSP),70
5578,ICS with Physics Combination (PU-CSP),51
5579,ICS with Physics Combination (PU-CSP),75
5580,ICS with Physics Combination (PU-CSP),55
5581,ICS with Physics Combination (PU-CSP),45
5582,ICS with Physics Combination (PU-CSP),56
5583,ICS with Physics Combination (PU-CSP),50
5584,ICS with Physics Combination (PU-CSP),55
5585,ICS with Physics Combination (PU-CSP),37
5586,Pre-Engineering (PU-E),38
5587,Pre-Engineering (PU-E),55
5588,Pre-Engineering (PU-E),58
5589,Pre-Engineering (PU-E),38
5590,Pre-Engineering (PU-E),56
5591,Pre-Engineering (PU-E),52
5592,Pre-Engineering (PU-E),61
5594,Pre-Engineering (PU-E),58
5595,Pre-Engineering (PU-E),63
5596,Pre-Engineering (PU-E),61
5597,Pre-Engineering (PU-E),43
5598,Pre-Engineering (PU-E),54
5600,Pre-Engineering (PU-E),50
5601,Pre-Engineering (PU-E),56
5602,Pre-Engineering (PU-E),62
5603,Pre-Engineering (PU-E),61
5604,Pre-Engineering (PU-E),37
5606,Pre-Engineering (PU-E),45
5607,Pre-Engineering (PU-E),46
5609,Pre-Engineering (PU-E),38
5611,Pre-Engineering (PU-E),47
5612,Pre-Engineering (PU-E),48
5613,Pre-Engineering (PU-E),43
5614,Pre-Engineering (PU-E),69
5615,Pre-Engineering (PU-E),40
5616,Pre-Engineering (PU-E),25
5617,Pre-Engineering (PU-E),52
5618,Pre-Engineering (PU-E),63
5620,Pre-Engineering (PU-E),44
5621,Pre-Engineering (PU-E),57
5622,Pre-Engineering (PU-E),61
5623,Pre-Engineering (PU-E),54
5624,Pre-Engineering (PU-E),70
5625,Pre-Engineering (PU-E),32
5626,Pre-Engineering (PU-E),44
5627,Pre-Engineering (PU-E),69
5629,Pre-Engineering (PU-E),45
5630,Pre-Engineering (PU-E),45
5633,Pre-Engineering (PU-E),61
5634,Pre-Engineering (PU-E),61
5635,Pre-Engineering (PU-E),57
5636,Pre-Engineering (PU-E),64
5637,Pre-Engineering (PU-E),50
5640,Commerce (PU-COM),40
5641,Commerce (PU-COM),52
5642,Commerce (PU-COM),0
5643,Commerce (PU-COM),40
5644,Commerce (PU-COM),0
5645,Commerce (PU-COM),42
5646,Commerce (PU-COM),0
5647,Commerce (PU-COM),51
5648,Commerce (PU-COM),51
5649,Commerce (PU-COM),45
5651,Commerce (PU-COM),61
5652,Commerce (PU-COM),32
5654,Commerce (PU-COM),56
5655,Commerce (PU-COM),48
5657,Commerce (PU-COM),56
5658,Commerce (PU-COM),59
5659,Commerce (PU-COM),49
5660,Commerce (PU-COM),0
5661,Commerce (PU-COM),40
5662,Commerce (PU-COM),0
5663,Commerce (PU-COM),53
5665,Commerce (PU-COM),0
5666,Commerce (PU-COM),39
5668,Commerce (PU-COM),0
5669,Commerce (PU-COM),58
5671,Commerce (PU-COM),0
5672,Commerce (PU-COM),39
5673,Commerce (PU-COM),40
5674,Commerce (PU-COM),57
5675,Commerce (PU-COM),0
5676,Commerce (PU-COM),0
5677,Commerce (PU-COM),36
5678,Commerce (PU-COM),47
5679,Commerce (PU-COM),42
5680,Commerce (PU-COM),0
5681,Commerce (PU-COM),38
5682,Commerce (PU-COM),45
5683,Commerce (PU-COM),0
5684,Commerce (PU-COM),79
5686,Commerce (PU-COM),42
5687,Commerce (PU-COM),33
5689,Commerce (PU-COM),50
5690,Pre-Medical (PU-M),0
5691,Pre-Medical (PU-M),77
5693,Pre-Medical (PU-M),56
5694,Pre-Medical (PU-M),50
5695,Pre-Medical (PU-M),50
5696,Pre-Medical (PU-M),45
5698,Pre-Medical (PU-M),0
5700,Pre-Medical (PU-M),53
5703,Pre-Medical (PU-M),56
5704,Pre-Medical (PU-M),49
5705,Pre-Medical (PU-M),39
5708,Pre-Medical (PU-M),44
5709,Pre-Medical (PU-M),47
5710,Pre-Medical (PU-M),42
5711,Pre-Medical (PU-M),50
5712,Pre-Medical (PU-M),44
5713,Pre-Medical (PU-M),44
5714,Pre-Medical (PU-M),58
5715,Pre-Medical (PU-M),60
5716,Pre-Medical (PU-M),55
5717,Pre-Medical (PU-M),55
5718,Pre-Medical (PU-M),57
5719,Pre-Medical (PU-M),0
5720,Pre-Medical (PU-M),0
5721,Pre-Medical (PU-M),48
5722,Pre-Medical (PU-M),43
5723,Pre-Medical (PU-M),37
5724,Pre-Medical (PU-M),67
5725,Pre-Medical (PU-M),50
5726,Pre-Medical (PU-M),0
5727,Pre-Medical (PU-M),0
5729,Pre-Medical (PU-M),50
5730,Pre-Medical (PU-M),47
5731,Pre-Medical (PU-M),52
5732,Pre-Medical (PU-M),47
5734,Pre-Medical (PU-M),75
5735,Pre-Medical (PU-M),70
5736,Pre-Medical (PU-M),45
5737,Pre-Medical (PU-M),46
5738,Pre-Medical (PU-M),38
5739,Pre-Medical (PU-M),56
5740,Pre-Medical (PU-M),52
5741,Pre-Medical (PU-M),0
5742,Pre-Medical (PU-M),47
5743,Pre-Medical (PU-M),45
5744,Pre-Medical (PU-M),82
5745,Pre-Medical (PU-M),33
5746,Pre-Medical (PU-M),60
5748,Pre-Medical (PU-M),51
5749,Pre-Medical (PU-M),53
5750,Pre-Medical (PU-M),59
5751,Pre-Medical (PU-M),71
5752,Pre-Medical (PU-M),0
5753,Pre-Medical (PU-M),52
5754,Pre-Medical (PU-M),48
5755,Pre-Medical (PU-M),0
5757,Pre-Medical (PU-M),0
5759,Pre-Medical (PU-M),42
5761,Pre-Medical (PU-M),0
5762,Pre-Medical (PU-M),37
5765,Pre-Medical (PU-M),28
5766,Pre-Medical (PU-M),60
5767,Pre-Medical (PU-M),0
5768,Pre-Medical (PU-M),0
5769,Pre-Medical (PU-M),36
5770,Pre-Medical (PU-M),0
5771,Pre-Medical (PU-M),0
5772,Pre-Medical (PU-M),0
5773,Pre-Medical (PU-M),0
5774,Pre-Medical (PU-M),0
5776,Pre-Medical (PU-M),58
5778,Pre-Medical (PU-M),64
5779,Pre-Medical (PU-M),57
5780,Pre-Medical (PU-M),0
5781,Pre-Medical (PU-M),49
5785,Pre-Medical (PU-M),55
5786,Pre-Medical (PU-M),0
5787,Pre-Medical (PU-M),24
5788,Pre-Medical (PU-M),26
